id,emptitle,grade,homeownership,issuedate,loanstatus,memberid,purpose,subgrade,term,verificationstatus,annualincome,dti,installment,intrate,loanamount,totalacc,totalpayment
1077430,Ryder,C,RENT,2/11/2024,Charged Off,1314167,car,C4,60 months,Source Verified,30000,0.01,59.83,0.1527,2500,4,1009
1072053,MKC Accounting,E,RENT,6/1/2024,Fully Paid,1288686,car,E1,36 months,Source Verified,48000,0.0535,109.43,0.1864,3000,4,3939
1069243,Chemat Technology Inc,C,RENT,5/5/2024,Charged Off,1304116,car,C5,36 months,Not Verified,50000,0.2088,421.65,0.1596,12000,11,3522
1041756,barnes distribution,B,MORTGAGE,4/25/2024,Fully Paid,1272024,car,B2,60 months,Source Verified,42000,0.054,97.06,0.1065,4500,9,4911
1068350,J&J Steel Inc,A,MORTGAGE,1/1/2024,Fully Paid,1302971,car,A1,36 months,Verified,83000,0.0231,106.53,0.0603,3500,28,3835
1064589,teltow contracting,B,MORTGAGE,8/9/2024,Fully Paid,1298401,car,B5,60 months,Not Verified,36000,0.1773,93.21,0.1269,4125,21,5551
211723,self employed,C,OWN,8/8/2024,Charged Off,211606,car,C2,36 months,Not Verified,72000,0.0512,262.26,0.1109,8000,8,2135
662350,Clark County School District,A,MORTGAGE,5/11/2024,Charged Off,847024,car,A5,36 months,Not Verified,70800,0.0795,77.95,0.0766,2500,39,1479
659221,rice &werthmann,A,MORTGAGE,10/11/2024,Charged Off,843127,car,A5,36 months,Not Verified,86400,0.0385,280.62,0.0766,9000,10,8945
458328,north ga dentention center,B,MORTGAGE,10/10/2024,Charged Off,570309,car,B2,36 months,Not Verified,30000,0.0992,164.85,0.1148,5000,19,884
489679,Synovus Bank,D,MORTGAGE,1/10/2024,Charged Off,624878,car,D4,36 months,Not Verified,34000,0.1486,210.07,0.157,6000,6,5986
470041,inspired automation inc,A,OWN,3/10/2024,Charged Off,593245,car,A1,36 months,Not Verified,43800,0.0737,148.32,0.0705,4800,7,3210
725534,Able Electronics,B,OWN,6/11/2024,Charged Off,920793,car,B4,36 months,Not Verified,48000,0.051,60.34,0.1074,1850,45,1655
494891,EdgeStream Inc,B,RENT,8/10/2024,Charged Off,633723,car,B5,36 months,Not Verified,31000,0.0159,182.66,0.1136,5550,5,2083
384963,Pesci Family,B,RENT,6/9/2024,Charged Off,416412,car,B1,36 months,Not Verified,39996,0.2298,261.71,0.1095,8000,43,6197
290803,Nesle,C,RENT,12/8/2024,Charged Off,290796,car,C2,36 months,Not Verified,37440,0.0772,98.7,0.1134,3000,14,2798
734343,Berean Group,B,MORTGAGE,12/11/2024,Charged Off,930853,car,B2,36 months,Not Verified,126000,0.1529,193.61,0.1,6000,22,5796
269289,mdm golf,A,MORTGAGE,9/8/2024,Fully Paid,260821,car,A5,36 months,Not Verified,60000,0.0894,316.28,0.0863,10000,27,11340
266282,"NetVida Marketing, Inc.",B,MORTGAGE,2/8/2024,Fully Paid,188654,car,B2,36 months,Not Verified,40000,0.1872,257.24,0.0976,8000,35,9149
243406,CK General Construction,B,MORTGAGE,4/8/2024,Fully Paid,243089,car,B2,36 months,Not Verified,200000,0.0484,192.93,0.0976,6000,22,6945
226154,Ramsey County,E,MORTGAGE,9/8/2024,Fully Paid,225530,car,E1,36 months,Not Verified,72000,0.2257,170.72,0.1393,5000,44,6146
253727,Central Washington Hospital,A,OWN,6/8/2024,Fully Paid,253715,car,A5,36 months,Not Verified,10000,0,142.33,0.0863,4500,6,5096
196380,Comerica Bank,A,RENT,11/8/2024,Fully Paid,188466,car,A4,36 months,Not Verified,62000,0.1407,345.06,0.0807,11000,23,12247
206181,Lexington Alarm Systems,A,RENT,6/8/2024,Fully Paid,167318,car,A1,36 months,Not Verified,28800,0,108.27,0.0712,3500,5,3863
219070,Arborist Services,B,RENT,11/8/2024,Fully Paid,219037,car,B5,36 months,Not Verified,50000,0.0506,194.91,0.1046,6000,21,6982
219000,Evergreen Treatment Services,B,RENT,5/8/2024,Fully Paid,218997,car,B1,36 months,Not Verified,37000,0.1674,175.42,0.092,5500,36,6320
281384,Church of God of Prophecy,C,RENT,11/8/2024,Fully Paid,281309,car,C3,36 months,Not Verified,54263,0.1238,115.69,0.1166,3500,23,4164
253987,Comcast,C,RENT,1/8/2024,Fully Paid,253974,car,C1,36 months,Not Verified,41000,0.1692,98.26,0.1103,3000,16,3498
373881,Jesuit College Preparatory School,A,MORTGAGE,8/9/2024,Fully Paid,394401,car,A2,36 months,Not Verified,40308,0.0578,155.96,0.0768,5000,19,5422
651079,Fakouri Electrical,A,MORTGAGE,6/11/2024,Fully Paid,832879,car,A4,36 months,Not Verified,58000,0.2127,124.04,0.0729,4000,24,4466
683816,operating engineers local 158,A,MORTGAGE,12/11/2024,Fully Paid,873188,car,A1,36 months,Not Verified,72000,0.2075,223.19,0.0542,7400,23,7556
675716,Gideon Toal/U.P.R Inc.,A,MORTGAGE,1/11/2024,Fully Paid,863546,car,A1,36 months,Not Verified,36000,0.2293,271.44,0.0542,9000,47,9772
700052,RCCG - Victory Temple,A,MORTGAGE,8/11/2024,Fully Paid,891691,car,A3,36 months,Not Verified,50000,0.203,308.41,0.0692,10000,32,11103
661459,Atkins and Pearce,A,MORTGAGE,6/11/2024,Fully Paid,845936,car,A4,36 months,Not Verified,48000,0.1988,201.57,0.0729,6500,24,7257
390651,Girard Engineering,A,MORTGAGE,6/9/2024,Fully Paid,425903,car,A4,36 months,Not Verified,135000,0.0518,255.58,0.0932,8000,14,9201
483645,AT&T,A,MORTGAGE,2/10/2024,Fully Paid,615502,car,A4,36 months,Not Verified,75181,0.1831,186.66,0.0751,6000,30,6720
394295,Downey welding,A,MORTGAGE,10/9/2024,Fully Paid,432897,car,A5,36 months,Not Verified,48000,0.1257,481.42,0.0963,15000,31,17331
732697,Corvirtus,A,MORTGAGE,4/11/2024,Fully Paid,928926,car,A1,36 months,Not Verified,85000,0.04,168.9,0.0542,5600,36,6080
710680,Lonza Inc,A,MORTGAGE,4/11/2024,Fully Paid,903454,car,A2,36 months,Not Verified,54000,0.1129,151.64,0.0579,5000,20,5459
390765,Rummel  Klepper  and  Kahl,A,MORTGAGE,9/9/2024,Fully Paid,426115,car,A3,36 months,Not Verified,60000,0.0036,313.37,0.08,10000,11,10513
500124,ST Microelectronics,A,MORTGAGE,8/10/2024,Fully Paid,642219,car,A3,36 months,Not Verified,85000,0.0329,247.52,0.0714,8000,32,8906
694067,faztec industries,A,MORTGAGE,4/11/2024,Fully Paid,884942,car,A1,36 months,Not Verified,57600,0.0725,120.64,0.0542,4000,24,4343
720394,Washoe County School District,A,MORTGAGE,12/11/2024,Fully Paid,914846,car,A3,36 months,Not Verified,37459,0.0061,172.71,0.0692,5600,8,6130
673841,Templeton Steel,A,MORTGAGE,4/11/2024,Fully Paid,861281,car,A4,36 months,Not Verified,60000,0.014,94.59,0.0729,3050,12,3170
667916,NYS Dept. of Environmental Conservation,A,MORTGAGE,6/11/2024,Fully Paid,853863,car,A1,36 months,Not Verified,65000,0.1429,180.96,0.0542,6000,33,6515
708650,Centurylink,A,MORTGAGE,9/11/2024,Fully Paid,901168,car,A3,36 months,Not Verified,72000,0.0217,154.21,0.0692,5000,11,5543
645985,Hunter Industries,A,MORTGAGE,4/11/2024,Fully Paid,826524,car,A1,36 months,Not Verified,110000,0.0524,235.25,0.0542,7800,27,8388
726906,mary washington hospital,A,MORTGAGE,4/11/2024,Fully Paid,922378,car,A4,36 months,Not Verified,40560,0.0737,93.03,0.0729,3000,47,3292
725132,Astrazeneca Pharmaceuticals,A,MORTGAGE,1/11/2024,Fully Paid,920343,car,A5,36 months,Not Verified,84000,0.1734,183.97,0.0766,5900,31,6534
388170,AMG Imaging Supplies,A,MORTGAGE,11/9/2024,Fully Paid,421436,car,A1,36 months,Not Verified,50004,0.101,372.55,0.0737,12000,31,13412
455641,College of Westchester,A,MORTGAGE,1/10/2024,Fully Paid,565159,car,A5,36 months,Not Verified,52000,0.0909,312.81,0.0788,10000,20,11277
697609,ETMC Carthage,A,MORTGAGE,4/11/2024,Fully Paid,888953,car,A4,36 months,Not Verified,40000,0.1041,124.04,0.0729,4000,12,4465
713504,Graham Packaging Inc.,A,MORTGAGE,7/11/2024,Fully Paid,906743,car,A5,36 months,Not Verified,72000,0.1887,65.48,0.0766,2100,39,2357
472636,Prince William County Schools,A,MORTGAGE,7/10/2024,Fully Paid,596860,car,A1,36 months,Not Verified,75000,0.0173,247.2,0.0705,8000,24,8900
668787,Metropolitan Museum of Art,A,MORTGAGE,9/11/2024,Fully Paid,855127,car,A2,36 months,Not Verified,48000,0.104,150.88,0.0579,4975,11,5432
508736,Sarnoff Corporation,A,MORTGAGE,2/10/2024,Fully Paid,656465,car,A2,36 months,Not Verified,73400,0.0281,64.62,0.0676,2100,28,2306
719399,IRS,A,MORTGAGE,12/11/2024,Fully Paid,913732,car,A2,36 months,Not Verified,68800,0.1387,145.57,0.0579,4800,46,4930
707303,Champion Industries-CPC Printing,A,MORTGAGE,11/11/2024,Fully Paid,899636,car,A2,36 months,Not Verified,40000,0.0885,121.31,0.0579,4000,31,4299
661158,TrueNorth Insurance Companies,A,MORTGAGE,3/11/2024,Fully Paid,845559,car,A1,36 months,Not Verified,105000,0.0514,150.8,0.0542,5000,20,5429
489841,Interfaith Medical Center,A,MORTGAGE,2/10/2024,Fully Paid,625184,car,A5,36 months,Not Verified,69000,0.2297,344.09,0.0788,11000,59,11796
737488,D4D Technologies,A,MORTGAGE,9/11/2024,Fully Paid,934676,car,A3,36 months,Not Verified,99400,0.089,185.05,0.0692,6000,38,6655
644846,Storms Ford Lincoln,A,MORTGAGE,8/11/2024,Fully Paid,825145,car,A2,36 months,Not Verified,95000,0.0728,242.62,0.0579,8000,43,8734
470186,Peak CMS,A,MORTGAGE,5/10/2024,Fully Paid,593497,car,A2,36 months,Not Verified,72000,0.2152,496.95,0.074,16000,23,17890
489630,Coilcraft,A,MORTGAGE,11/10/2024,Fully Paid,624789,car,A4,36 months,Not Verified,52000,0.1048,121.33,0.0751,3900,12,4168
504878,S.P. Richards,A,MORTGAGE,4/10/2024,Fully Paid,650279,car,A4,36 months,Not Verified,100000,0.0803,342.21,0.0751,11000,36,12106
