index,Genre,Year,MoviesReleased,Gross,TicketsSold,Inflation-AdjustedGross,TopMovie,Top MovieGross,TopMovieInflationAdjustedGross
0,Adventure,1995,29,77.15,17.74,159.09,Toy Story,15.015,30.962
1,Adventure,1996,34,129.05,29.20,261.89,Independence Day,30.617,62.134
2,Adventure,1997,23,88.19,19.21,172.35,Men in Black,25.065,48.983
3,Adventure,1998,29,161.45,34.42,308.78,Armageddon,20.158,38.553
4,Adventure,1999,27,161.24,31.74,284.71,Star Wars Ep. I: The Phantom Menace,43.044,76.005
5,Adventure,2000,30,132.73,24.63,220.89,How the Grinch Stole Christmas,25.337,42.165
6,Adventure,2001,32,226.89,40.08,359.56,Harry Potter and the Sorcerer’s Stone,30.040,47.606
7,Adventure,2002,45,281.89,48.52,435.21,Spider-Man,40.371,62.328
8,Adventure,2003,46,242.41,40.20,360.60,Finding Nemo,33.971,50.535
9,Adventure,2004,47,288.78,46.50,417.13,Shrek 2,44.123,63.733
10,Adventure,2005,43,254.12,39.64,355.60,Star Wars Ep. III: Revenge of the Sith,38.027,53.214
11,Adventure,2006,44,274.37,41.89,375.74,Pirates of the Caribbean: Dead Man’s Chest,42.332,57.972
12,Adventure,2007,41,291.48,41.11,368.75,Spider-Man 3,33.653,42.575
13,Adventure,2008,57,300.77,34.36,308.25,Iron Man,31.841,32.633
14,Adventure,2009,49,281.87,32.21,288.94,Harry Potter and the Half-Blood Prince,30.196,30.953
15,Adventure,2010,44,320.29,37.27,334.29,Toy Story 3,41.500,43.314
16,Adventure,2011,51,277.57,32.45,291.09,Harry Potter and the Deathly Hallows: Part II,38.101,39.958
17,Adventure,2012,48,328.43,41.26,370.10,The Hobbit: An Unexpected Journey,26.383,29.731
18,Adventure,2013,40,290.04,35.67,320.00,The Hunger Games: Catching Fire,40.714,44.920
19,Adventure,2014,49,273.50,33.48,300.28,The Lego Movie,25.778,28.303
20,Adventure,2015,51,306.38,35.57,319.03,Star Wars Ep. VII: The Force Awakens,74.221,77.284
21,Adventure,2016,53,415.91,47.81,428.85,Finding Dory,48.630,50.142
22,Adventure,2017,44,268.79,29.97,268.79,Star Wars Ep. VIII: The Last Jedi,51.722,51.722
23,Adventure,2018,49,297.35,33.15,297.35,Incredibles 2,60.858,60.858
24,Action,1995,29,104.95,24.13,216.42,Batman Forever,18.403,37.948
25,Action,1996,36,122.27,27.66,248.13,Twister,24.169,49.049
26,Action,1997,36,145.66,31.73,284.66,The Lost World: Jurassic Park,22.909,44.769
27,Action,1998,30,97.32,20.75,186.12,Rush Hour,13.757,26.311
28,Action,1999,25,91.02,17.92,160.72,The Matrix,17.148,30.279
29,Action,2000,31,126.66,23.50,210.78,Mission: Impossible 2,21.541,35.848
30,Action,2001,31,139.06,24.57,220.39,Rush Hour 2,22.616,35.843
31,Action,2002,32,139.43,24.00,215.26,Men in Black 2,19.042,29.399
32,Action,2003,36,210.94,34.98,313.79,The Matrix Reloaded,28.155,41.883
33,Action,2004,28,106.89,17.21,154.39,"I, Robot",14.480,20.916
34,Action,2005,41,135.69,21.17,189.88,War of the Worlds,23.428,32.785
35,Action,2006,33,105.06,16.04,143.87,X-Men: The Last Stand,23.436,32.095
36,Action,2007,38,149.00,21.42,192.14,Transformers,31.925,41.169
37,Action,2008,36,164.36,19.54,175.24,The Dark Knight,53.100,56.617
38,Action,2009,31,204.10,23.71,212.70,Transformers: Revenge of the Fallen,40.211,41.904
39,Action,2010,31,180.42,20.52,184.08,Avatar,40.839,41.667
40,Action,2011,47,211.75,24.36,218.54,Transformers: Dark of the Moon,35.239,36.368
41,Action,2012,48,221.98,27.89,250.15,The Avengers,62.328,70.236
42,Action,2013,45,242.32,29.81,267.35,Iron Man 3,40.899,45.125
43,Action,2014,49,260.40,31.87,285.90,Guardians of the Galaxy,33.306,36.567
44,Action,2015,56,294.74,33.87,303.82,Jurassic World,65.227,67.235
45,Action,2016,61,253.32,29.00,260.09,Captain America: Civil War,40.808,41.898
46,Action,2017,67,330.57,36.85,330.57,Wonder Woman,41.256,41.256
47,Action,2018,59,414.21,46.18,414.21,Black Panther,70.006,70.006
48,Drama,1995,131,152.60,35.08,314.66,Apollo 13,17.204,35.475
49,Drama,1996,121,137.31,31.07,278.65,A Time to Kill,10.877,22.073
50,Drama,1997,117,119.82,26.11,234.17,The Godfather,12.914,25.238
51,Drama,1998,129,157.70,33.56,301.00,Saving Private Ryan,19.059,36.377
52,Drama,1999,133,145.89,28.72,257.60,The General's Daughter,10.271,18.135
53,Drama,2000,166,174.93,32.45,291.11,The Perfect Storm,18.262,30.391
54,Drama,2001,151,137.72,24.33,218.26,Cast Away,12.394,19.643
55,Drama,2002,175,160.19,27.57,247.31,A Beautiful Mind,13.293,20.523
56,Drama,2003,174,110.92,18.40,165.00,Seabiscuit,12.028,17.892
57,Drama,2004,228,138.01,22.22,199.34,The Passion of the Christ,37.027,53.484
58,Drama,2005,266,142.14,22.17,198.91,Million Dollar Baby,9.938,13.907
59,Drama,2006,252,156.64,23.91,214.51,The Departed,12.036,16.483
60,Drama,2007,249,129.37,17.90,160.54,American Gangster,12.915,16.026
61,Drama,2008,256,108.94,13.73,123.16,Twilight,17.692,20.001
62,Drama,2009,196,183.44,21.97,197.10,The Twilight Saga: New Moon,28.795,30.941
63,Drama,2010,208,168.82,19.57,175.52,The Twilight Saga: Eclipse,30.053,31.246
64,Drama,2011,244,149.03,18.36,164.69,"The Twilight Saga: Breaking Dawn, Part 1",27.553,30.449
65,Drama,2012,228,167.07,20.99,188.27,"The Twilight Saga: Breaking Dawn, Part 2",28.913,32.582
66,Drama,2013,231,133.83,16.46,147.66,The Great Gatsby,14.484,15.981
67,Drama,2014,254,164.85,20.18,181.00,The Fault in Our Stars,12.487,13.710
68,Drama,2015,287,207.02,24.06,215.80,American Sniper,34.790,36.266
69,Drama,2016,282,136.09,15.64,140.26,Sully,12.498,12.880
70,Drama,2017,253,132.66,14.79,132.66,Hidden Figures,16.762,16.762
71,Drama,2018,266,163.16,18.19,163.16,A Star is Born,20.211,20.211
72,Comedy,1995,61,104.89,24.11,216.29,Ace Ventura: When Nature Calls,10.437,21.522
73,Comedy,1996,69,104.12,23.56,211.30,The Nutty Professor,12.881,26.142
74,Comedy,1997,72,129.69,28.26,253.45,Liar Liar,18.141,35.452
75,Comedy,1998,74,79.14,16.87,151.36,The Waterboy,15.004,28.697
76,Comedy,1999,69,135.25,26.62,238.82,Austin Powers: The Spy Who Shagged Me,20.604,36.381
77,Comedy,2000,79,148.26,27.51,246.74,Meet the Parents,16.133,26.848
78,Comedy,2001,88,147.77,26.11,234.18,American Pie 2,14.510,22.995
79,Comedy,2002,82,130.56,22.47,201.57,Austin Powers in Goldmember,21.312,32.903
80,Comedy,2003,82,180.26,29.89,268.15,Bruce Almighty,24.270,36.104
81,Comedy,2004,120,167.44,26.96,241.86,Meet the Fockers,16.246,23.467
82,Comedy,2005,129,182.59,28.48,255.51,Wedding Crashers,20.922,29.278
